stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,173.31,3.21,0,0,0,3.21,0,0,20.33,13.91,0,0,0
21Day,0,0,2.68,4.02,0,0,0,0,1.34,1.34,0,1.34,0,1.34,0,18.74,4.02,0,0,0,0,1.34,0,24.09,48.19,0,0,1.34
3Month,0.32,0.32,3.84,0,0.64,1.28,4.8,0.32,0.32,3.2,0.32,0.96,1.28,1.28,0,0.64,0.32,0.32,0.32,0,0.32,0.32,32.63,0.64,0,0.32,14.4,0.32
22Month,0,0,1.64,0,0,0.55,8.75,0.55,0,1.64,0,0,0.55,0.55,1.09,0,0,0.55,0.55,1.09,0,0,14.21,4.92,0,0.55,0,0
