stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,8.17,36.78,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,3.21,2.14,0,1.07,0,0,2.14,5.35,0,0,0,1.07,0,0,0,0,0
21Day,1.34,0,0,1.34,1.34,0,0,1.34,0,1.34,0,1.34,0,1.34,0,6.69,0,0,2.68,1.34,0,0,0,0,4.02,2.68,0,0,0
3Month,0,0.96,0.96,7.04,0,0.64,0,1.92,1.92,63.03,2.56,29.12,0.96,1.6,1.28,1.28,0.32,0.64,0.32,0.32,0.32,0.32,0,0,1.92,129.26,0.64,38.39,0.64
22Month,0,0.55,0.55,1.64,0,0,0.55,0,0.55,35.53,1.09,22.41,0,0,2.19,1.64,0.55,0,0,0,0.55,1.09,51.39,0.55,0,41,0,0,0
