stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,8.56,0,0,0,1.07,0,0,0,0
21Day,0,1.34,0,0,0,0,1.34,0,0,0,1.34,0,8.03,1.34,0,1.34,1.34,0,0,0,0
3Month,0.64,1.28,0.32,0.64,1.92,0,0.32,2.88,1.28,0.32,0.96,0.32,0,0.32,0.64,0,0,0.96,8.96,99.5,0.96
22Month,0,0,0,0,9.29,0.55,0,0.55,0,0,0,0,0,0,0,0.55,0,0.55,0.55,0,0
