stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,16.35,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,2.14,0,1.07,0,7.49,1.07,0,0,0,0
21Day,0,1.34,0,0,0,0,0,1.34,0,0,0,1.34,0,6.69,0,0,0,0,0
3Month,0,0.96,0,0.32,12.8,0.64,0,0.32,0,0.32,0.32,0.64,0,0,0,0.32,0.32,0,0
22Month,0.55,0.55,0.55,4.92,24.05,1.09,0.55,0.55,0.55,0,4.37,3.28,0.55,0,0,0,0,0.55,1.64
