stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,11.77,2.14,0,0,1.07,0,0,1.07,0,0,2.14,0,0,1.07,0,0
21Day,0,2.68,2.68,0,1.34,1.34,0,0,0,12.05,0,0,0,4.02,0,1.34,0,1.34,1.34,0,0,1.34,0,0,1.34,0
3Month,0,2.88,1.92,0.32,7.36,0.64,18.56,0.64,0,98.54,0.32,2.24,0.96,0.96,0,0.96,2.56,0.32,0,0.96,0,1.6,0.96,0,0,0.96
22Month,0,1.64,0.55,0.55,3.83,0.55,9.84,1.09,0.55,85.28,0,0,0,0,1.09,0,0,0,0,1.09,0,0,0.55,0,0,0
