stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,0,0,0,0,11.77,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,12.05,0,0,1.34,0,0,0,0,0,0
3Month,2.56,0,3.52,0.96,1.92,0.64,0.96,0,0.32,0,1.6,0.64,1.6,0,2.24,0,0.64,21.12,0,0.64,13.76,0.32
22Month,0.55,0.55,13.67,0,1.09,0,0.55,1.09,0.55,0.55,0,0,0,0,4.37,0,0,38.27,0.55,0,0.55,0.55
