stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,1.07,0,0,1.07,0,0,0,0,0,0,0,0,20.33,1.07,0,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,1.34,0,5.35,0,1.34,4.02,1.34,0,0,1.34,1.34,0,0,1.34
3Month,0,0,0.32,0.96,0,0.32,0.32,0.64,0.96,0.32,0.96,0.64,0,0.32,0,0.32,1.6,0,0,1.92,0.64,0.32
22Month,0,0,0,0,0,0,0,2.19,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0
