stage,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
21Day,8.03,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0
3Month,53.11,0.32,0.32,0.96,1.92,1.28,0.32,19.52,0.32,0.64,0,0.32,0.32,0.32,0.64,0.32,0.32
22Month,6.56,0,0,0,1.09,0,0,7.11,0,0,0,0,0,0,0,0,0
