stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,6.42,0,0,0,0,3.21,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0
21Day,1.34,4.02,0,1.34,0,0,0,0,6.69,0,16.06,0,2.68,0,4.02,0,0,0,0,0,1.34,0,0,1.34,0,0,0,0,0,0
3Month,2.24,5.76,0.32,0,0.96,1.92,1.92,0,125.42,2.24,145.58,0.64,2.56,2.56,1.6,0.32,0.32,0.64,2.56,0.64,0,0.96,1.28,0.64,3.84,3.2,0.32,0.32,0.64,0.96
22Month,1.64,1.09,0,0,0,3.83,0,1.09,95.12,0,147.6,0,0,0,1.64,0,2.19,0.55,0,0,0,0.55,0.55,0,0.55,0,0,0,0,0
