stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,100.56,3.21,0,0,0,0,0,0,1.07,6.42,0,0,0
21Day,1.34,0,12.05,2.68,0,4.02,0,0,0,0,0,4.02,1.34,9.37,16.06,28.11,1.34,0,0,0,0,45.51,1.34,0,0,1.34,1.34,1.34,2.68,2.68,12.05,0,0,1.34
3Month,0.32,1.6,32.63,0,0.64,0.32,7.68,9.92,0,8.96,5.44,2.88,39.99,2.56,5.12,19.2,3.52,0.64,0,2.56,0.96,0.64,0,2.56,0.32,0,0.96,13.44,0,0,0,2.24,6.4,20.48
22Month,3.83,2.73,10.39,0,0.55,0.55,3.28,4.92,4.37,25.15,1.09,3.28,31.71,1.09,2.19,14.76,1.09,0,0.55,1.09,0,2.19,0,3.28,0,0.55,0,0,0.55,2.19,0,2.19,0,7.11
