stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,10.7,3.21,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,5.35,1.34,0,0,0,0,1.34,0,0,12.05,0,16.06,0,4.02,0,34.8,8.03,0,1.34,1.34,0,1.34,1.34,0,0,0,0
3Month,0,0.96,5.76,0,0.96,0.96,4.48,0.32,0,1.92,0.32,0.64,0.32,16.32,10.56,0,0.64,1.92,0,0.32,0,0,3.52,0,0,0.64,0.64,29.44,0.96
22Month,0,0.55,1.09,0,0,0.55,0.55,0,0,0,0,0,0,9.29,1.09,0,0,0,0,0,0,0,0.55,0,0,0,0,0.55,0
