stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,1.07,2.14,6.42,0,1.07,0,0,4.28,2.14,0,2.14,0,0,5.35,0,0
21Day,2.68,0,1.34,4.02,0,0,0,6.69,0,1.34,0,0,1.34,0,9.37,0,0,1.34,1.34,0,1.34,2.68,0,0,0,0
3Month,0,0,0.32,5.12,0.32,0,0,4.8,0.96,0,0.32,0.64,0.64,0.32,1.92,0.32,0.32,0.32,0,2.56,0,0,0.96,0,1.6,0.64
22Month,0,0.55,0,1.64,0,0.55,0.55,5.47,0.55,0,0,0.55,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0
