stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,1.07,0,0,0,0,0,0,0,5.35,2.14,3.21,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,0,8.03,0,1.34,0,0,0,1.34,0,16.06,2.68,10.71,0,0,0,0,0,1.34,0,0,1.34,0,0,0,0
3Month,0,0,27.2,0.32,0,0,1.6,0.32,0,1.28,19.2,3.52,8.64,0.64,0,0,0.32,2.24,0,0,0,0.32,0.64,0.32,0.64,0.32
22Month,0,0.55,38.81,0,0,1.09,12.57,0,0,3.28,7.65,2.19,9.84,2.19,0.55,1.09,0,2.73,0,0.55,0.55,0,1.09,0,0,1.64
