stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,8.17,4.09,8.17,12.26,57.21,4.09,0,0,0,0
72hpf,1.07,2.14,0,0,0,0,0,0,0,0,0,4.28,11.77,7.49,0,0,3.21,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,8.03,2.68,2.68,1.34,0,0,0,1.34
3Month,0,0.64,0,0.32,0.32,1.92,0.32,0.32,0.32,0.32,0,0.32,0,0,0,6.4,0,0.96,0.64
