stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,4.28,0,1.07,0,0,0,0,2.14,4.28,0,0,0,0,0,0,0,0
21Day,0,0,0,5.35,1.34,0,0,0,0,0,0,1.34,1.34,0,0,5.35,0,1.34,0,0,1.34,0,2.68,0,0,1.34,0,0,1.34,0,0,5.35
3Month,0.32,2.56,2.24,21.12,0,0,0.32,7.36,5.44,0,21.44,6.72,1.92,17.92,0.64,5.76,6.72,4.8,1.6,0,0.96,0.96,0.96,0.32,0.64,0,0.64,4.8,0,1.6,0.96,22.72
22Month,0,3.83,4.37,15.31,0,0.55,0.55,7.65,14.76,2.73,82.54,6.01,3.28,65.6,2.73,3.83,12.57,4.92,0,2.19,3.28,0,0,0,1.64,0,0.55,1.64,0,0,0,7.11
