stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,16.35,0,24.52,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,28.6,0,0,0,53.12,367.78,0,0,0,0,0,0,0,0,0,0,0
72hpf,28.88,11.77,0,25.67,4.28,35.3,0,0,0,0,0,0,0,0,0,10.7,43.86,5.35,37.44,0,0,0,5059.04,431.13,16.05,25.67,72.75,1.07,0,66.33,4.28,3.21,3.21,0,0
21Day,16.06,1.34,4.02,22.76,4.02,29.45,1.34,0,4.02,2.68,0,5.35,4.02,9.37,1.34,0,16.06,6.69,26.77,0,0,1.34,1128.38,57.56,9.37,10.71,13.39,36.14,1.34,10.71,2.68,21.42,4.02,0,5.35
3Month,0,0,0,4.16,0,0,0,0,0.32,1.28,0,3.84,1.28,0.32,2.56,1.28,1.28,0.96,0.96,0.96,0,0,10.88,0.96,11.52,0.32,0,0.32,7.36,0.32,0,0,0,14.08,0.64
22Month,0,1.64,0,1.64,0.55,0,0,0.55,1.09,3.28,1.09,41,1.64,0,2.73,0,1.09,1.64,2.19,0,0.55,0,16.4,1.64,15.31,3.28,0,0,19.68,1.64,0.55,0,0,0.55,0
