stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,1.07,2.14,0,0,0
21Day,0,0,0,0,0,1.34,0,0,4.02,0,0,0,1.34,0,0
3Month,0,0.32,0.32,0.64,0.32,0.64,0,1.92,0.64,0.32,0,0,0,0.32,3.2
22Month,0,0,0.55,7.65,0,0,1.09,0.55,0,0,0.55,0,2.19,0,4.37
