stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
3Month,0.32,0.32,2.88,0.32,0.64,2.56,0.96,0.64,1.6,0.32,0,0.64,0,0.32,0.32,33.91,0.64,18.56,1.6
22Month,0,0,0,0,0,0.55,0,0,0,0,0.55,0,0.55,0,0,3.83,0,0,0
