stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,3.21,1.07,0,0,0,0,0,2.14,206.47,0,2.14,7.49,4.28,1.07,1.07,2.14,0,0
21Day,1.34,0,0,4.02,0,0,0,1.34,1.34,0,10.71,64.25,0,2.68,4.02,0,0,0,0,0,0
3Month,0,0,0,7.36,0,0.96,0,2.24,0,0,8.64,0,0,0.32,0,0,0,0,0,0.64,0
22Month,0,1.09,2.73,78.72,0,12.03,0.55,17.49,0,0.55,6.56,0.55,1.09,0,1.09,0,0,0.55,0,0,0.55
