stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
72hpf,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,2.14,1.07,0,133.72,0,0,0,0
21Day,2.68,2.68,4.02,0,0,0,0,0,0,1.34,5.35,0,0,5.35,1.34,0,103.07,0,1.34,1.34,0
3Month,0,1.28,0,0.32,0.32,1.6,0.64,0.32,0,0,1.92,3.2,0.32,0,0,0.32,13.76,0.96,0.32,0,0.32
22Month,0.55,0.55,0,0.55,0,14.76,0.55,0,0.55,0.55,0.55,0,0,0,0.55,0,9.29,0.55,0,0,0
