stage,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0,0,0,0,8.17,0,0,0,0
72hpf,0,0,0,0,0,0,2.14,0,0,0,0,0,2.14,0,0,0,0,0
21Day,0,6.69,0,0,0,0,6.69,0,1.34,0,0,0,1.34,0,0,0,0,0
3Month,0.64,2.88,0.32,1.6,0.32,2.24,0,0.64,0,0.32,0.32,0.32,0,0,0,0.32,0,0.96
22Month,0.55,2.19,0.55,8.2,0.55,6.01,0,0.55,1.09,0,0,0,0,0,0.55,0,1.09,0
