stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,1.34,0,0,4.02,0,0,0,0,0,0
3Month,0,0.32,0.32,0.64,0.32,8.96,0.32,1.6,0,0.32,0.32,19.2,0,0,0.32,0,0.32,0.32
22Month,0.55,0,0,0,0,3.28,0,0.55,0.55,0.55,0,8.2,0,0,0,0.55,0,0
