stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,34.23,5.35,2.14,1.07,2.14,0,0,0,0
21Day,4.02,0,4.02,0,0,0,0,0,2.68,0,117.79,1.34,0,0,99.05,0,0,0,1.34
3Month,0,0,0,0.64,0,0.64,0.32,0.32,0.32,0.32,10.24,0,0,0,0,0.64,1.92,0.32,0.64
22Month,0,0.55,0,0,0.55,1.64,0,0.55,0,0,0.55,0,0,0,0,0,0.55,0,0
