stage,Epithelial_cell,Mesenchymal_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia
24hpf,0,0,12.26,0,0
72hpf,0,0,2.14,0,0
21Day,0,1.34,0,0,1.34
3Month,0.64,0.32,0,0.32,0
