stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,1.07,0,3.21,0,6.42,0,0
21Day,1.34,0,0,0,1.34,0,0,0,0,0,0,1.34,0,0,0,1.34,8.03,0,1.34,0,0,0,0
3Month,0,0.64,0,0,1.28,0.32,0,0.32,0.32,0,0.32,0,0.32,0,0.32,0,0,0,0,0,0,0,0
22Month,0,0,0.55,0.55,39.36,0,1.09,2.73,0,0.55,1.09,2.19,0,1.09,0.55,0,0,0.55,0,0.55,0.55,0.55,1.64
