stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0,4.48,0,0.32,0,1.6,0.32,0.64,0.32,0.32,0.32,0,0,0,0,0,0
22Month,0.55,3.83,0.55,1.09,0.55,14.76,0.55,0.55,0,2.19,2.19,0.55,0.55,0,0.55,0.55,0.55
