stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,0,4.09,4.09,0,0,0,4.09,28.6,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,1.07,3.21,0,0,0,0,0,0,0,0,11.77,0,7.49,0,0,0,33.16,6.42,0,0,6.42,0,0,0,0,1.07,0,0
21Day,2.68,0,0,4.02,0,0,0,0,0,0,1.34,0,0,12.05,0,4.02,0,0,2.68,24.09,1.34,0,0,1.34,1.34,0,1.34,1.34,1.34,0,0
3Month,0,0.96,0.32,8,0,1.28,2.88,0,3.52,3.2,0.32,1.92,0.32,1.28,1.92,4.48,0.32,0,0.96,1.28,0.32,0.64,0.64,0.64,0.32,0.64,0,0,0,4.16,1.92
22Month,0,0.55,0,6.01,0,0.55,7.11,6.01,17.49,1.64,1.64,4.37,0,1.64,1.64,4.37,0,1.64,2.73,1.09,0,0.55,0,0,0,0,0,0,0,0,1.64
