stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,11.77,8.56,0,0,0,0,0,0,0
21Day,0,12.05,1.34,0,0,0,2.68,0,80.31,4.02,1.34,1.34,0,1.34,1.34,0,0
3Month,0,4.48,0,1.6,1.92,0.96,0,0.32,2.24,0.64,0,0.32,0,0,0,1.28,0.32
22Month,0,0,0,2.73,5.47,0,0,1.09,0.55,0,0,0,0.55,0,0,0.55,0
