stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,8.17,0,0,0,0,0,0,0,0,0,4.09,4.09,4.09,0,0,0,16.35,0,0,0,0,0
72hpf,1.07,0,1.07,0,1.07,0,0,0,0,0,0,1.07,0,2.14,0,0,7.49,7.49,1.07,0,1.07,0,0
21Day,4.02,0,1.34,1.34,0,0,0,0,0,0,0,1.34,0,1.34,1.34,0,2.68,4.02,0,0,0,0,0
3Month,0,0,1.28,0,0,0.32,0.32,0.96,1.6,0,0.32,0.96,1.28,0.64,0.32,0.32,0.32,0,0,0.32,0,6.08,21.12
22Month,0.55,0,0,0,0,3.28,0,1.09,0,0.55,2.19,0,0.55,0,0,0,0.55,0,0.55,0,0,1.09,0.55
