stage,Epithelial_cell,Hepatocyte,Ionocyte,Macrophage,Neural_cell,T_cell
24hpf,0,0,4.09,0,0,0
72hpf,0,0,2.14,0,1.07,0
21Day,1.34,0,1.34,1.34,0,0
22Month,0,1.09,0,0.55,0,0.55
