stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,4.09,16.35,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,0,17.12,4.28,1.07,0,3.21,1.07,0,0,0,0,0
21Day,0,5.35,0,0,0,1.34,0,0,1.34,0,8.03,1.34,0,0,0,0,1.34,0,1.34,0,0
3Month,0,1.28,0.64,1.6,0.32,0.96,0,1.92,0.32,0.64,0,0.32,0.32,0,0,0,1.6,0.32,0,4.48,0.32
22Month,0,0.55,1.09,4.92,0,0,0.55,0.55,0,0,0,0,0,0.55,0,0,0,0.55,0,0,0
