stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,12.26,24.52,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,0,0,0,0,0,5.35,1.07,2.14,0,0,0,132.65,19.26,0,3.21,0,0,4.28,0,0,1.07,0,0,0
21Day,2.68,0,1.34,6.69,1.34,6.69,0,0,0,0,0,6.69,0,1.34,2.68,4.02,0,0,0,66.93,8.03,1.34,4.02,2.68,0,6.69,1.34,2.68,0,0,0,2.68
3Month,0,0.64,0,4.48,0,0,0.32,2.56,0,2.24,0.64,0,0.64,0.64,0.96,0.64,0.32,0,0.32,0.96,0.32,0.32,0,0.64,2.56,0,0,0,0,2.24,3.84,0.96
22Month,0,0,0,3.28,0,0,0.55,3.28,1.64,12.03,0,1.09,1.09,0,6.01,0.55,0,0.55,0,0.55,0,0.55,0,0,1.09,0,0,0,0,0,0,1.09
