stage,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,1.07,0,0,0,0,1.07
21Day,0,1.34,0,0,0,0,1.34,0,1.34,0,1.34,0,0
22Month,1.09,0,3.83,0.55,2.19,0.55,1.09,0,0,0.55,0,1.64,0
