stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.56,2.14,0,1.07,0,0,0,0,2.14,0,0,0,0
21Day,2.68,1.34,2.68,0,4.02,0,4.02,0,0,0,0,0,0,1.34,0,0,0,0,18.74,0,0,1.34,0,13.39,2.68,0,0,0,6.69,0,0,0,0,0,0,0
3Month,0,0.96,13.44,0.32,0,0.32,0.32,0.32,0.96,0.96,0,22.4,1.6,2.24,4.16,2.24,8.96,3.52,8.64,0.96,0,1.6,0.96,2.24,0.32,1.6,0.32,0,0.32,0.64,8.96,0.32,0.32,6.08,1.92,3.52
22Month,0,1.09,1.64,0,0,0,0,0,0,1.64,0.55,17.49,0,0,1.64,0,0,0,3.28,0,0.55,0,0,0,0.55,0,0,0.55,0,0,1.09,1.64,0,1.09,0,2.19
