stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,4.09,0,0,4.09,20.43,0,4.09,0,0,0,0,0
72hpf,1.07,1.07,0,0,1.07,0,0,2.14,0,0,0,0,0,5.35,7.49,0,1.07,0,1.07,0,0,0
21Day,0,4.02,8.03,1.34,0,0,0,1.34,1.34,1.34,6.69,0,1.34,1.34,1.34,1.34,0,0,1.34,1.34,0,0
3Month,0,1.6,0,0,0.96,0.96,0.96,0.32,0.96,0.32,0.64,0.32,0,0,0,0,0,2.56,0,0,0.32,0.32
22Month,0,0,0,0.55,4.37,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
