stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,12.26,0,0,0,0,0,8.17,0,0,0,0,0,12.26,4.09,16.35,0,0,0,0,12.26,65.38,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,3.21,1.07,0,5.35,14.98,0,0,0,0,0,0,0,2.14,0,5.35,18.19,2.14,4.28,0,0,0,0,24.61,10.7,1.07,0,0,7.49,0,0,1.07,0,0,0,0,0,0
21Day,8.03,1.34,1.34,24.09,5.35,4.02,0,0,0,0,8.03,0,6.69,5.35,2.68,12.05,13.39,22.76,0,0,0,0,17.4,6.69,0,1.34,0,12.05,0,20.08,1.34,1.34,1.34,0,0,1.34,4.02
3Month,0,1.6,0.96,14.4,0,0.32,4.16,5.76,0,0,31.36,4.8,0.64,15.04,2.88,1.92,3.52,3.2,0.96,0.32,1.28,2.24,1.6,0.32,2.24,0.96,0,0.64,2.88,271,0.96,0,0,0,4.48,177.25,5.12
22Month,0,2.19,1.09,4.92,0,0.55,0.55,5.47,2.73,0,206.64,1.64,1.09,35.53,0,0.55,4.92,8.75,0,8.2,3.83,0,1.09,0,0.55,1.64,1.09,0,1.09,36.63,0.55,0.55,0,0.55,0,1.64,3.83
