stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Neural_cell
3Month,0,0,0,0.32,0.32,0.64,0,0,2.88
22Month,0.55,0.55,0.55,0,7.65,0,0.55,0.55,4.92
