stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,4.09,0,0,8.17,0,4.09,4.09
72hpf,1.07,1.07,0,1.07,0,2.14,0,0,2.14
21Day,1.34,1.34,0,0,1.34,5.35,2.68,0,0
