stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,4.09,28.6,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,2.14,0,0,0,0,0,0,0
21Day,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0.32,2.88,0.96,1.28,0.64,0.32,0.32,7.68,0.32,0.32,0.32,0.32,10.88,1.28,0.32
22Month,0,0,0,0.55,0,0,0,0,0.55,0,0,0,0,0,0,0.55
