stage,Hepatocyte,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Radial_glia,T_cell
24hpf,0,0,0,4.09,0,0
72hpf,0,0,1.07,3.21,5.35,0
21Day,0,0,1.34,0,13.39,0
22Month,2.19,0.55,0,0,0,0.55
