stage,Epithelial_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Radial_glia,Spermatocyte
72hpf,0,3.21,1.07,1.07,0,0
21Day,0,1.34,0,0,1.34,0
3Month,0.32,0,0,0,0,0.64
