stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,0,1.07,0,0,0,1.07,0,0,0,0,0,0
21Day,1.34,0,1.34,1.34,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0.32,0.64,5.44,11.52,1.28,0.32,0.32,16,0.96,0,191.33,0.32,129.9,2.24,1.28,1.6,2.88,0.64,0.64,0.64,11.84,0.32,0.32,0.64,0,3.52,2.56,0,0.64,2.56,0.32
22Month,0.55,0.55,7.65,4.37,1.09,0.55,0,9.84,1.09,0.55,402.88,1.64,201.17,0,0,2.19,0.55,1.09,8.75,1.09,0.55,0,1.09,0.55,0,2.19,0,0,0,0,0
