stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,5.35,0,2.14,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0
21Day,0,0,1.34,5.35,0,0,0,0,1.34,0,0,0,1.34,0,0,10.71,4.02,5.35,0,0,1.34,0,1.34,0,0,5.35,1.34,0,0,1.34,0,0,0
3Month,0,2.56,0.32,16.64,0,0.32,0.64,6.72,7.68,0,23.68,7.36,1.28,6.72,0.64,3.2,4.8,6.08,0.64,0,3.2,0.32,0.32,0.32,0.64,0.32,0.96,6.72,0,0,0.64,0.64,12.16
22Month,0,1.64,1.64,6.01,0,0,0,5.47,20.23,3.28,77.08,3.28,5.47,14.76,0.55,0.55,18.04,3.83,0.55,1.64,1.09,0.55,0,0.55,0.55,0.55,0,1.09,0.55,0,0,0,4.92
