stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,4.09,0,40.86,0,36.78,179.8,0,0,0,0,0,0,0
72hpf,28.88,1.07,3.21,0,0,0,0,1.07,7.49,6.42,7.49,0,392.61,54.56,0,3.21,0,0,3.21,1.07,0
21Day,8.03,1.34,0,1.34,0,0,0,0,0,2.68,1.34,0,28.11,5.35,0,0,0,2.68,0,0,0
3Month,0.32,0,0,0,0.64,0.64,0,0,0,0,0,0,0,0,0,0,0.32,4.16,0,0,0.96
22Month,0,0,0,0,2.19,2.19,0.55,0,0,0,0,0.55,0,0,0.55,0,0,1.64,0,0,0
