stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,2.14,0,0,3.21,0,0,0,0,0,0
21Day,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,4.02,0,0,2.68,0,0,0,0,0,0
3Month,0,0.96,13.12,0.32,0,0.32,0.96,0,5.12,0.64,0,1.6,1.6,2.88,1.6,3.52,0.32,0,1.28,0.32,0.64,0,1.28,0.32,0,1.28,0.32,0.32,1.92,0.32,0.32
22Month,0.55,3.28,3.83,0,0.55,0,3.83,0.55,21.87,1.09,0.55,3.28,0,0,1.09,2.73,0,0.55,0,0,0,0,0,1.64,0,0,2.73,0,0.55,0,1.09
