stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.74,4.28,1.07,0,0,0,0,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,4.02,0,0,0,0,29.45,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0,6.72,0.32,0,0.96,1.92,0,11.2,1.28,0.64,3.52,0.32,2.56,1.28,2.56,0.64,0,0.32,0.32,0,0,0,0.32,0,0.32,0.32,2.56,0,0.64,0.64,2.24
22Month,4.37,0.55,10.93,0,1.64,3.28,12.03,6.56,89.65,2.19,1.09,13.67,0.55,1.64,8.2,12.57,0.55,4.37,0.55,0,0,0,1.64,0.55,1.09,0.55,0.55,2.19,2.19,0,0,4.37
