stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,28.6,0,0,0,0,0,0,0,12.26,0,0,0,0,0,8.17,32.69,24.52,0,0,0,4.09,8.17,20.43,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,10.7,0,1.07,0,1.07,0,1.07,0,0,0,0,0,0,2.14,23.54,4.28,5.35,0,2.14,0,0,4.28,1.07,0,0,7.49,0,0,0,0,0,0
21Day,2.68,4.02,0,30.79,1.34,5.35,0,1.34,0,1.34,0,0,2.68,0,2.68,2.68,0,20.08,6.69,9.37,0,0,2.68,0,8.03,2.68,0,1.34,4.02,2.68,0,0,0,0,1.34
3Month,0,1.92,1.92,28.16,0,0,0.32,0,7.36,13.76,0,0,59.51,16.64,0.32,20.8,2.24,11.84,8.64,4.8,2.56,0,10.56,1.92,0.64,0,2.56,0.96,1.28,0.96,7.68,0.32,2.88,3.52,9.6
22Month,1.09,0,0,7.11,0,0,0,0,0.55,18.59,1.09,0,50.29,4.37,0,16.95,1.09,1.64,16.95,4.92,0.55,1.09,1.09,0,1.64,0,0,1.64,0,0,0,0,0.55,0,4.37
