stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,4.09,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.56,0,1.07,0,0,0,131.58,5.35,0,2.14,0,0,0,2.14,0,0,0,0,0
21Day,0,0,33.46,8.03,0,0,0,1.34,0,0,1.34,0,1.34,32.12,1.34,4.02,0,36.14,0,215.5,8.03,0,1.34,4.02,4.02,0,2.68,1.34,0,0,0,0
3Month,0.32,0,6.4,0,0.96,0,0.64,0,6.72,0.32,0,1.92,0.96,1.6,0.64,4.16,6.08,60.47,0.96,3.2,0,0.96,0.32,0,0.32,1.6,0.32,0,0,0.32,0.64,0.32
22Month,0,0.55,11.48,0,4.37,1.09,2.19,0.55,34.44,1.64,0.55,3.28,0.55,0.55,1.64,4.37,0.55,30.07,0,6.56,0,1.09,2.73,0,0,1.09,0,0,0,0,0,3.28
