stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,0
3Month,0.32,0.32,2.88,1.6,0.32,0.32,0.32,0,0.32,0,0,0.64,0.32
22Month,0.55,0,8.2,2.73,0,0,0,0.55,0,0,0.55,0.55,0
