stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,8.56,1.07,0,0,0,0,29.95,0,0
21Day,0,0,2.68,0,6.69,0,0,0,0,4.02,2.68,13.39,1.34,0,0,1.34,0,108.42,2.68,0
3Month,0,0,0,0,0,0.32,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0.55,0.55,0,0,2.19,6.01,1.09,0.55,2.19,0,0,0,0.55,0.55,0,2.19,318.15,0,0.55
