stage,Endothelial_cell,Epithelial_cell,Granulosa_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09
72hpf,0,0,0,0,0,0,0,3.21,0,0,0,7.49
21Day,1.34,1.34,0,0,0,1.34,2.68,4.02,2.68,2.68,1.34,41.49
3Month,0,0,0,0.64,0.64,0,0,0,0,0,0,0.64
22Month,0.55,1.09,0.55,2.19,0,0.55,0,0,0,0,0,0
