stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,28.6,0
72hpf,0,1.07,0,1.07,1.07,0,1.07,0,1.07
21Day,1.34,2.68,1.34,0,0,2.68,1.34,1.34,0
