stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,T_cell
21Day,0,2.68,0,0,0,1.34,0,0,9.37,0,0,0,0,0,1.34,0
3Month,0.32,3.84,0.32,0.64,1.6,0,1.28,8.64,33.91,0.32,0.32,0.32,0.32,0.32,0,0
22Month,0,0.55,0,1.64,6.56,0,0.55,2.73,12.57,0,0,0,0,0.55,0,0.55
