stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,1.07,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,0,0,0,0
21Day,238.26,36.14,38.82,800.44,30.79,568.88,0,108.42,1.34,6.69,37.48,2.68,120.47,42.83,235.58,116.45,82.99,516.67,180.7,938.31,0,2.68,117.79,2.68,1001.22,455.1,28.11,58.9,483.21,46702.76,0,2.68,99.05,52.2,244.95,38.82,0,0,169.99
3Month,1.28,15.36,9.28,105.58,0,0,3.52,1.92,0.32,29.12,32.63,1.92,174.37,61.11,2.56,63.99,13.12,39.67,26.88,48.63,9.92,1.28,24.96,8,3.52,0.64,6.72,6.08,2.56,13173.59,33.59,33.27,3.2,0,0,0.32,13.12,48.31,33.59
22Month,0.55,1.64,0.55,2.73,0,0,0,0,0,0.55,4.37,0,49.75,0.55,0,2.73,0,0,3.28,3.83,1.09,1.64,0,0,0,0,0.55,0,0,1428.41,0,1.09,0.55,0,0,0,0,0,2.73
