stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell
24hpf,12.26,0,0,4.09,0,0,0,0,0
72hpf,16.05,0,0,1.07,0,1.07,1.07,0,0
21Day,18.74,0,0,1.34,4.02,0,0,2.68,1.34
3Month,0.32,0,0.32,0.32,0,0,0,0.32,0
22Month,0,0.55,0,0.55,0.55,0,0,0,0
