stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,1.07,0,2.14,54.56,2.14,0,1.07,0,0,24.61,47.07,3.21,0
21Day,1.34,2.68,1.34,0,0,1.34,1.34,0,1.34,4.02,1.34,9.37,1.34,1.34,1.34,2.68,1.34,87,378.8,0,0
22Month,0,0.55,0,0.55,4.37,0,1.09,0.55,0,0,0,0,0,0,0,0,0,20.23,0,0,0.55
