stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,2.14,1.07,0,0,0,0,0,0,2.14,3.21,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,1.34,9.37,1.34,0,0,0,0,0,0,0,4.02,2.68,1.34,6.69,5.35,5.35,0,0,0,0,5.35,1.34,0,0,0,0,0,0,0,0,0,0,4.02
3Month,3.52,6.08,108.46,0,1.6,0.64,51.51,16.32,0,77.43,33.27,3.52,86.71,3.2,19.52,58.55,6.08,0.96,0.32,10.88,5.12,2.88,0,1.92,0.96,0,0.32,1.92,8.64,0.64,0,2.88,4.8,34.87
22Month,4.37,10.39,44.28,0,0.55,1.09,38.27,27.33,2.73,113.7,26.79,7.11,195.7,2.19,6.01,43.73,1.64,0,1.09,3.83,0,0.55,1.09,1.64,0.55,1.09,0.55,1.64,33.89,1.09,0.55,1.09,0,20.23
