stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,20.43,0,0,0,0,0,0,0,4.09,0,16.35,32.69,0,4.09,257.44,0,0,4.09,0,0,0,0,4.09,0,0,0
72hpf,3.21,0,0,2.14,1.07,0,0,1.07,0,0,0,0,1.07,0,7.49,1.07,70.61,38.51,0,0,7.49,0,0,1.07,1.07,0,0,0,0
21Day,1.34,0,1.34,1.34,1.34,0,1.34,1.34,0,0,0,0,0,1.34,8.03,0,38.82,28.11,0,2.68,8.03,2.68,0,4.02,0,0,0,0,1.34
3Month,0.32,0.32,0,1.6,0,0.32,0.32,3.84,1.6,0,0.64,0,0.96,1.28,1.6,0,0,0.32,0.32,0,0,0,0.64,0,0,0,0.32,1.28,2.24
22Month,0,0,0,0,0,0,0,1.64,3.83,0.55,0,0,0,0,0.55,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0
