stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,8.17,4.09,0,0,0,0,0,40.86,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,2.14,1.07,0,0,0,0,1.07,0,0,0,0,0,0,3.21,6.42,6.42,0,0,0,0,4.28,9.63,0,4.28,0,0,2.14,0,1.07,0,0,0
21Day,6.69,1.34,26.77,0,1.34,0,0,0,2.68,0,0,0,13.39,0,0,8.03,21.42,5.35,0,0,4.02,0,6.69,2.68,0,2.68,2.68,0,0,1.34,0,0,0,20.08
3Month,0,0.96,13.44,0,0,0,0.32,0.96,9.28,0,7.36,15.04,1.6,2.24,0.32,3.2,14.08,3.2,0.64,0,0.64,1.6,0.64,0,1.28,0,0.32,6.08,0,0,0,1.28,4.8,16.32
22Month,0.55,2.73,9.29,0,0,0.55,0,2.73,21.87,1.09,37.17,6.56,4.37,3.83,0,1.64,16.95,3.28,0.55,1.09,0.55,0.55,0,0,2.19,0,0,2.19,0.55,0,0,0,0,7.11
