stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.59,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,2.14,10.7,4.28,0,3.21,0,0,0,0,0,0,0,20.33,6.42,1.07,205.4,0,0,0,39.58,10.7,0,0,5.35,0,0,0,2.14,0,0,0,0,0
21Day,6.69,0,0,13.39,0,12.05,0,1.34,0,1.34,0,1.34,0,12.05,1.34,1.34,5.35,2.68,73.62,0,1.34,0,18.74,5.35,0,0,1.34,2.68,0,0,0,1.34,0,0,0,12.05
3Month,1.28,1.28,1.92,22.08,0.32,0,0.32,0.96,10.56,39.03,0,30.4,1162.7,1.6,8,3.84,3.84,12.16,32.95,8,4.16,2.56,1.28,0,0.96,1.6,1.28,1.6,5.12,44.15,1.28,0,0,4.16,63.35,11.84
22Month,0,0.55,0.55,8.2,0,0,0.55,0,1.64,13.67,3.28,27.33,353.69,2.73,4.37,1.09,0,13.67,31.71,0,0.55,0,1.09,8.2,0,9.84,0,0,0.55,17.49,0,0,8.75,0,0,5.47
