stage,Epithelial_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell
24hpf,0,4.09,0,0,0
72hpf,0,0,1.07,0,0
21Day,1.34,2.68,1.34,4.02,0
3Month,0,0,0.64,0,0.32
