stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,4.09,0,0,0,0,0,0,0,0,0,8.17,0,4.09,4.09,0,0,0,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,5.35,0,0,0,0,0,0,0,0,2.14,2.14,0,0,0,0,1.07,18.19,21.4,0,1.07,0,6.42,1.07,0,16.05,0,1.07,0,0,0
21Day,4.02,0,6.69,5.35,0,0,0,0,0,0,0,0,0,0,0,9.37,0,2.68,0,5.35,4.02,0,0,0,5.35,2.68,0,1.34,0,0,0,0,0
3Month,3.52,0.32,48.31,2.88,0,2.56,2.24,0,11.52,2.56,0,2.88,16.32,4.16,4.48,11.2,4.16,1.6,1.92,5.76,0,1.6,0,0,0.96,0.64,53.43,1.6,0,0.96,1.92,401.22,2.88
22Month,6.56,0,19.13,0.55,0.55,0.55,1.64,1.64,20.77,0.55,1.64,4.37,0.55,0.55,3.83,9.84,0,0.55,0,1.09,0,1.64,0,0.55,0,1.09,33.89,4.37,0.55,0,0.55,1.09,1.09
