stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Fibroblast,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,4.09,0,4.09,0,0,0,0,0,0,8.17,8.17,4.09,40.86,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,1.07,1.07,4.28,4.28,0,0
21Day,0,0,5.35,0,0,0,0,1.34,0,1.34,1.34,0,0,0,0
3Month,0,0,2.24,0.32,0.32,1.6,0,0.32,0.32,0.32,0.64,0,0,0.96,0.32
22Month,0,0,0,0,0,0,0.55,0,0,0,0.55,0,0,0,0
