stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,32.69,849.97,0,0,4.09,0,0,0,0,0,0,0
72hpf,7.49,0,0,4.28,7.49,4.28,0,0,0,0,0,0,0,0,0,1.07,4.28,1.07,4.28,0,1.07,0,0,205.4,467.5,0,2.14,10.7,0,0,13.91,2.14,1.07,0,0
21Day,4.02,0,0,8.03,1.34,8.03,0,2.68,0,0,0,0,0,1.34,0,0,4.02,1.34,1.34,0,0,0,0,48.19,152.59,0,5.35,5.35,2.68,0,1.34,0,0,0,0
3Month,0,0,0,4.16,0.32,0,0,0.32,0,0.96,0.32,19.84,1.92,0.64,1.28,0,1.28,1.6,2.24,0.32,0.32,0.64,0.64,0.64,0.64,0.64,5.12,0,0.64,4.16,0,0,0.32,0.32,0.96
22Month,0,2.73,1.64,8.75,1.64,0,1.64,0,1.09,5.47,2.19,106.6,5.47,0.55,12.03,1.09,1.09,6.01,8.2,0,3.28,1.09,0,2.19,0,1.64,3.83,1.64,0,5.47,0,0,0,0,2.73
